year,state,month,number,day
2010,Acre,11,39,1
2011,Acre,11,74,1
2012,Acre,11,13,1
2013,Acre,11,79,1
2014,Acre,11,56,1
2015,Acre,11,115,1
2016,Acre,11,46,1
2017,Acre,11,98,1
1998,Acre,12,7,1
1999,Acre,12,0,1
2000,Acre,12,0,1
2001,Acre,12,0,1
2002,Acre,12,1,1
2003,Acre,12,1,1
2004,Acre,12,7,1
2005,Acre,12,2,1
2006,Acre,12,0,1
2007,Acre,12,0,1
2008,Acre,12,0,1
2009,Acre,12,1,1
2010,Acre,12,0,1
2011,Acre,12,4,1
2012,Acre,12,1,1
2013,Acre,12,3,1
2014,Acre,12,6,1
2015,Acre,12,8,1
2016,Acre,12,6,1
1998,Alagoas,1,0,1
1999,Alagoas,1,58,1
2000,Alagoas,1,11,1
2001,Alagoas,1,5,1
2002,Alagoas,1,12,1
2003,Alagoas,1,150,1
2004,Alagoas,1,9,1
2005,Alagoas,1,83,1
2006,Alagoas,1,29,1
2007,Alagoas,1,33,1
2008,Alagoas,1,55,1
2009,Alagoas,1,104,1
2010,Alagoas,1,23,1
2011,Alagoas,1,41,1
2012,Alagoas,1,36,1
2013,Alagoas,1,49,1
2014,Alagoas,1,54,1
2015,Alagoas,1,81,1
2016,Alagoas,1,24,1
2017,Alagoas,1,38,1
2017,Alagoas,1,38,1
1998,Alagoas,2,0,1
1999,Alagoas,2,20,1
2000,Alagoas,2,16,1
2001,Alagoas,2,4,1
2002,Alagoas,2,15,1
2003,Alagoas,2,33,1
2004,Alagoas,2,7,1
2005,Alagoas,2,31,1
2006,Alagoas,2,14,1
2007,Alagoas,2,28,1
2008,Alagoas,2,74,1
2009,Alagoas,2,32,1
2010,Alagoas,2,26,1
2011,Alagoas,2,33,1
2012,Alagoas,2,41,1
2013,Alagoas,2,19,1
2014,Alagoas,2,29,1
2015,Alagoas,2,46,1
2016,Alagoas,2,14,1
2017,Alagoas,2,21,1
1998,Alagoas,3,0,1
1999,Alagoas,3,52,1
2000,Alagoas,3,32,1
2001,Alagoas,3,0,1
2002,Alagoas,3,27,1
2003,Alagoas,3,15,1
2004,Alagoas,3,16,1
2005,Alagoas,3,35,1
2006,Alagoas,3,37,1
2007,Alagoas,3,7,1
2008,Alagoas,3,31,1
2009,Alagoas,3,31,1
2010,Alagoas,3,70,1
2011,Alagoas,3,34,1
2012,Alagoas,3,44,1
2013,Alagoas,3,31,1
2014,Alagoas,3,28,1
2015,Alagoas,3,32,1
2016,Alagoas,3,9,1
2017,Alagoas,3,23,1
1998,Alagoas,4,0,1
1999,Alagoas,4,4,1
2000,Alagoas,4,20,1
2001,Alagoas,4,0,1
2002,Alagoas,4,6,1
2003,Alagoas,4,20,1
2004,Alagoas,4,6,1
2005,Alagoas,4,1,1
2006,Alagoas,4,2,1
2007,Alagoas,4,1,1
2008,Alagoas,4,18,1
2009,Alagoas,4,5,1
2010,Alagoas,4,3,1
2011,Alagoas,4,17,1
2012,Alagoas,4,18,1
2013,Alagoas,4,25,1
2014,Alagoas,4,16,1
2015,Alagoas,4,63,1
2016,Alagoas,4,13,1
2017,Alagoas,4,7,1
1998,Alagoas,5,0,1
1999,Alagoas,5,1,1
2000,Alagoas,5,1,1
2001,Alagoas,5,2,1
2002,Alagoas,5,1,1
2003,Alagoas,5,1,1
2004,Alagoas,5,3,1
2005,Alagoas,5,0,1
2006,Alagoas,5,0,1
2007,Alagoas,5,0,1
2008,Alagoas,5,0,1
2009,Alagoas,5,0,1
2010,Alagoas,5,0,1
2011,Alagoas,5,0,1
2012,Alagoas,5,21,1
2013,Alagoas,5,2,1
2014,Alagoas,5,1,1
2015,Alagoas,5,18,1
2016,Alagoas,5,4,1
2017,Alagoas,5,1,1
1998,Alagoas,6,0,1
1999,Alagoas,6,0,1
2000,Alagoas,6,0,1
2001,Alagoas,6,2,1
2002,Alagoas,6,0,1
2003,Alagoas,6,0,1
2004,Alagoas,6,0,1
2005,Alagoas,6,0,1
2006,Alagoas,6,0,1
2007,Alagoas,6,0,1
